XYZ,  XYZ Issue,  80,  1,  
Actor,  Description,  Influence,  XYZ Position,  XYZ Salience
Act-1001,  Desc-1001,  1.73,  63.03,  43.31
Act-1002,  Desc-1002,  1.25,  52.2,  35.72
Act-1003,  Desc-1003,  1.31,  72.33,  63.04
Act-1004,  Desc-1004,  1.12,  71.28,  76.3
Act-1005,  Desc-1005,  0.97,  59.82,  67.28
Act-1006,  Desc-1006,  1.13,  74.24,  57.4
Act-1007,  Desc-1007,  1.01,  73.26,  65.58
Act-1008,  Desc-1008,  1.06,  64.52,  45.88
Act-1009,  Desc-1009,  1.01,  40.54,  46.8
Act-1010,  Desc-1010,  0.87,  54.13,  39.4
Act-1011,  Desc-1011,  0.7,  47.46,  33.73
Act-1012,  Desc-1012,  0.89,  58.49,  47.62
Act-1013,  Desc-1013,  1.1,  79.96,  71.45
Act-1014,  Desc-1014,  0.78,  55.43,  62.39
Act-1015,  Desc-1015,  0.69,  72.31,  63.31
Act-1016,  Desc-1016,  0.5,  68.12,  41.67
Act-1017,  Desc-1017,  1.25,  46.8,  61.81
Act-1018,  Desc-1018,  1.16,  50.31,  61.59
Act-1019,  Desc-1019,  1.19,  41.21,  43.92
Act-1020,  Desc-1020,  1.05,  55.72,  61.2
Act-1021,  Desc-1021,  1.06,  44.93,  62
Act-1022,  Desc-1022,  1.46,  69.4,  61.05
Act-1023,  Desc-1023,  1.25,  76.24,  67.34
Act-1024,  Desc-1024,  0.97,  62.41,  27.14
Act-1025,  Desc-1025,  1.01,  65.05,  28.71
Act-1026,  Desc-1026,  0.71,  72.98,  24.82
Act-1027,  Desc-1027,  0.78,  50.35,  31.02
Act-1028,  Desc-1028,  0.82,  58.73,  38.97
Act-1029,  Desc-1029,  0.74,  67.19,  46.49
Act-1030,  Desc-1030,  0.71,  70.18,  51.91
Act-1031,  Desc-1031,  0.76,  78.21,  46.56
Act-1032,  Desc-1032,  0.6,  71.18,  48.98
Act-1033,  Desc-1033,  0.43,  48.18,  28.52
Act-1034,  Desc-1034,  0.58,  77.45,  38.71
Act-1035,  Desc-1035,  0.86,  71.15,  48.59
Act-1036,  Desc-1036,  0.53,  56.86,  38.39
Act-1037,  Desc-1037,  0.44,  54.24,  28.01
Act-1038,  Desc-1038,  0.63,  61.04,  62.34
Act-1039,  Desc-1039,  0.73,  70.69,  77.87
Act-1040,  Desc-1040,  0.79,  58.32,  61.41
Act-1041,  Desc-1041,  0.72,  66.03,  49.11
Act-1042,  Desc-1042,  0.61,  68.29,  53.57
Act-1043,  Desc-1043,  0.4,  60.13,  33.82
Act-1044,  Desc-1044,  0.62,  68.42,  57.14
Act-1045,  Desc-1045,  0.41,  61.56,  48.49
Act-1046,  Desc-1046,  0.47,  58.3,  45.45
Act-1047,  Desc-1047,  0.6,  63.85,  45.18
Act-1048,  Desc-1048,  0.48,  68.99,  38.51
Act-1049,  Desc-1049,  0.48,  58.92,  35.88
Act-1050,  Desc-1050,  1.01,  51.84,  54.9
Act-1051,  Desc-1051,  3.97,  72.23,  28.33
Act-1052,  Desc-1052,  3.45,  64.4,  35.68
Act-1053,  Desc-1053,  1.86,  48.86,  7.71
Act-1054,  Desc-1054,  2.36,  69.15,  34.26
Act-1055,  Desc-1055,  3.03,  66.29,  43.92
Act-1056,  Desc-1056,  2.31,  69.4,  51.61
Act-1057,  Desc-1057,  2.76,  70.2,  61.52
Act-1058,  Desc-1058,  2.5,  50.41,  42.6
Act-1059,  Desc-1059,  2.07,  84.67,  66.56
Act-1060,  Desc-1060,  2.06,  76.89,  51.54
Act-1061,  Desc-1061,  2.47,  66.5,  71.43
Act-1062,  Desc-1062,  1.64,  76.94,  42.22
Act-1063,  Desc-1063,  2.54,  67.47,  29.54
Act-1064,  Desc-1064,  2.64,  59.97,  35.38
Act-1065,  Desc-1065,  3.01,  64.58,  54.56
Act-1066,  Desc-1066,  1.92,  72.25,  41.88
Act-1067,  Desc-1067,  1.13,  63.98,  10.14
Act-1068,  Desc-1068,  2.04,  80.03,  53.72
Act-1069,  Desc-1069,  1.84,  65.45,  20.51
Act-1070,  Desc-1070,  1.65,  52.57,  22.93
Act-1071,  Desc-1071,  0.79,  51.1,  10.5
Act-1072,  Desc-1072,  2.05,  66.71,  57.05
Act-1073,  Desc-1073,  1.76,  61.98,  22.34
Act-1074,  Desc-1074,  5.12,  59.23,  35.69
Act-1075,  Desc-1075,  4.25,  73.01,  26.78
Act-1076,  Desc-1076,  4.46,  79.57,  35.63
Act-1077,  Desc-1077,  3.82,  80.78,  64.31
Act-1078,  Desc-1078,  2.73,  80.94,  68.61
Act-1079,  Desc-1079,  2.32,  69.11,  40.37
Act-1080,  Desc-1080,  3.57,  62.86,  33.57
